 # xp yp zp bx by bz
 0.11034E+00 -0.30345E+00  0.00000E+00 -0.91394E-04  0.25090E-03  0.39432E-02
 0.12414E+00 -0.30345E+00  0.00000E+00 -0.84202E-04  0.26048E-03  0.41019E-02
 0.13793E+00 -0.30345E+00  0.00000E+00 -0.76074E-04  0.26947E-03  0.42520E-02
 0.15172E+00 -0.30345E+00  0.00000E+00 -0.67040E-04  0.27772E-03  0.43910E-02
 0.16552E+00 -0.30345E+00  0.00000E+00 -0.57150E-04  0.28507E-03  0.45163E-02
 0.17931E+00 -0.30345E+00  0.00000E+00 -0.46475E-04  0.29138E-03  0.46257E-02
 0.19310E+00 -0.30345E+00  0.00000E+00 -0.35112E-04  0.29652E-03  0.47166E-02
 0.20690E+00 -0.30345E+00  0.00000E+00 -0.23179E-04  0.30037E-03  0.47870E-02
 0.22069E+00 -0.30345E+00  0.00000E+00 -0.10815E-04  0.30283E-03  0.48349E-02
 0.23448E+00 -0.30345E+00  0.00000E+00  0.18203E-05  0.30381E-03  0.48588E-02
 0.24828E+00 -0.30345E+00  0.00000E+00  0.14554E-04  0.30327E-03  0.48578E-02
 0.26207E+00 -0.30345E+00  0.00000E+00  0.27202E-04  0.30119E-03  0.48313E-02
 0.27586E+00 -0.30345E+00  0.00000E+00  0.39576E-04  0.29760E-03  0.47794E-02
 0.28966E+00 -0.30345E+00  0.00000E+00  0.51494E-04  0.29255E-03  0.47031E-02
 0.30345E+00 -0.30345E+00  0.00000E+00  0.62784E-04  0.28613E-03  0.46036E-02
 0.31724E+00 -0.30345E+00  0.00000E+00  0.73293E-04  0.27847E-03  0.44831E-02
 0.33103E+00 -0.30345E+00  0.00000E+00  0.82894E-04  0.26972E-03  0.43440E-02
 0.34483E+00 -0.30345E+00  0.00000E+00  0.91491E-04  0.26007E-03  0.41893E-02
 0.35862E+00 -0.30345E+00  0.00000E+00  0.99020E-04  0.24968E-03  0.40220E-02
 0.37241E+00 -0.30345E+00  0.00000E+00  0.10545E-03  0.23875E-03  0.38453E-02
 0.38621E+00 -0.30345E+00  0.00000E+00  0.11078E-03  0.22747E-03  0.36623E-02
 0.40000E+00 -0.30345E+00  0.00000E+00  0.11504E-03  0.21600E-03  0.34760E-02
 0.00000E+00 -0.28966E+00  0.00000E+00 -0.10806E-03  0.16112E-03  0.23911E-02
 0.13793E-01 -0.28966E+00  0.00000E+00 -0.10719E-03  0.17014E-03  0.25282E-02
 0.27586E-01 -0.28966E+00  0.00000E+00 -0.10574E-03  0.17936E-03  0.26688E-02
